cafe_name,review_content,review_stars
Blue,"This was a lovely family beach hang out on Tel Baroch nice vibe and great value, NO More.When here previously packed now not so busy at these prices people will not come back but get in the car and go else where They have changed the menu and put up prices by at least 20% + and are trying to...
More ",3
Blue,"A friend of ours kept talking this place up and insisting we had to come. We didn't arrive until approximately 930pm so we missed the sunset but I can see that from my balcony every day of the week. I didn't know it was an outdoor venue so I was completely overdressed, in a nice dress with heels. So to...
More ",2
Blue,"Very disappointing. Been there few times, the view and the beach proximity are great, but that's where it ends. The food is average, the service is bad and the prices are extremely un proportional.",2
Blue,"I used to love this place! The perfect beach type restaurant to grab a bit with a view on the sea lounging in a bed type couch! What the hell is going on!? The service became really bad! The card has not changed in ages, and the food that used to be correct is really below par... uncooked french fries...
More ",2
Blue,"So I cant believe there have been only 3 other reviews for this place since it is always jam packed with tourists. So what is the place, well basically is a resto-cafe ona patio just off the tel baruch boardwalk and facing the sea. one of the greatest things about the place is that they will let you sit around...
More ",4
Blue,"We have been here a lot of times and like it a lot. It is a very pleasant place to hang out after an afternoon at the beach. You can order a small meal for the kids and enjoy the peace of the sunset. we usually tell them when we arrive at the beach to save us a table for...
More ",4
Blue,"I like this place, especially in the summer, especially at sunset. The food is simple, hummus, french fries, salad, and always good. If you don't mind the sand, and like your kids to enjoys themselves this is the romantic place to be.",4
Blue,"This review is based on three visits to Kachol over the past year. The setting is really great, between the two bays at Tel Baruch Beach. The restaurant tables have wide angle sea views and particularly around sunset it's a pleasure to sit there. The food is good or good-plus. Nothing very radical or innovative, but a nice variety of...
More ",4
Risso,"I take the children often to this place. The pizzas are excellent, really Italian. Never tried the pastas, but if it's like the pizza so it must be good",5
Risso,"Visited this establishment a few times during the past weeks. Each time we tried a different pizza, always pleased from the fresh produce, thin dough and friendly staff!",5
Risso,"the pizza and the sandwiches are really good. Coffee is great and the focaccia wonderful. Service is inattentive. Overall, avery good neighborhood pizzeria.",4
Coffee Station,"Excellent coffee! Great and diverse shakes, and very good cakes and cookies. Reasonable price and warm & lovely service. Very recommended!",5
