cafe_name,cafe_address
Blue,"Yishak Arzi 1, Tel Baruch Beach Tel Aviv"
Risso,"Rehov Hadar Yosef 14 Tel Aviv 6992666,"
Coffee Station,"Ibn Gabirol 152 Tel Aviv,"
Cane Hatachana,"The Station Tel Aviv,"
Creme Fraiche Cafe,"Rehov Yehuda Hanasi 34 Tel Aviv,"
Casino San Remo,"Nehama 2 Noga Qtr, Jaffa"
Max Brenner Rothchild,"Sderot Rothschild 45 Tel Aviv,"
Delizie,"Rehov Ben Yehuda 41 Tel Aviv 63807,"
Cafe Levinsky 41,"41 Levinsky Tel Aviv,"
Shaked Express,"8 Yehuda Meragusa Tel Aviv,"
Lulu - Cafe Patisserie,"5 Elkalay St. Tel Aviv 74204,"
Max Brenner Tel Aviv Port,"Tel Aviv Port Tel Aviv,"
Fashion caffe,"25 Hammered Street Tel Aviv Pob 50438,"
Birenbaum Cafe,"Nahalat Benyamin 31 Tel Aviv,"
Faruk BaShuk,"Rabbi Nachman 6 Tel Aviv 6813806,"
Roladin,"6 Aluf Kalman Magen Tel Aviv 6107078,"
cafe-hillel,"Rothschild 65 Tel Aviv,"
Amarena Gelato,"74 Bograshov Tel Aviv 6342914,"
Cafeneto,Ibn Gabirol 95 Hod Hasharon
Boutique Central,"Rotschild Avenue 1 Tel Aviv,"
Loveat,"____ ______ 1 Tel Aviv 6511301,"
Tal Bagels,"41 Carlebach Tel Aviv 6527730,"
Cafe Kaymak,"49 Levinski Street, 66526 Tel Aviv-Yafo Tel Aviv,"
Gala Gala Gelateria,"King George 30 Tel Aviv,"
Gibberish,"14 Ami'Ad Tel Aviv,"
Mitzedek,Barnet 5 Neve Tzedek
Lorenz & Mintz,"Rehov Aharon Chelouche 42 Tel Aviv,"
Hilton Tel Aviv Lobby Lounge,"205 HaYarkon St Tel Aviv 63405,"
Esther Rosa,"61 Boghrashof Tel Aviv,"
Cafe Lucia,Balfour 18 Lev Hair
Shmanmonet,"Rehov Yehuda Halevi 109 Tel Aviv 6527201,"
